,PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
0,DF2,CHUVA,ARTE,x,2022,Jan,1,Sat,18,56,4
1,DF2,RUA PRA UERJ,DESTAQUE,x,2022,Jan,1,Sat,18,14,38
2,DF2,TRANSPLANTES,ARTE,x,2022,Jan,1,Sat,18,33,23
3,DF2,TRANSPLANTES,ARTE,x,2022,Jan,1,Sat,18,57,4
4,GNEWS,CONTAS PUBLICAS,ARTE,x,2022,Jan,1,Sat,11,42,44
5,JH,DESONERAÇÃO DA FOLHA,ARTE,x,2022,Jan,1,Sat,11,23,7
6,JH,DESONERAÇÃO DA FOLHA,PASSEIO,x,2022,Jan,1,Sat,11,55,21
7,JN,DESONERACAO,ARTE,x,2022,Jan,1,Sat,19,19,18
8,JN,METANO,ARTE,x,2022,Jan,1,Sat,18,23,19
9,JN,METANO,ARTE,x,2022,Jan,1,Sat,19,9,34
0,BDDF,BALANCO,ARTE,x,2022,Jan,2,Sun,18,31,14
1,BDDF,CHUVA,ARTE,x,2022,Jan,2,Sun,17,58,24
2,BDDF,GE,DESTAQUE,x,2022,Jan,2,Sun,18,46,37
3,BDDF,GE,DESTAQUE,x,2022,Jan,2,Sun,20,10,35
4,BDDF,MENSAGENS,ARTE,x,2022,Jan,2,Sun,20,11,39
5,BDDF,ONDE,ARTE,x,2022,Jan,2,Sun,17,53,25
6,BDDF,ONDE,ARTE,x,2022,Jan,2,Sun,18,33,46
7,BDDF,REAJUSTES,x,x,2022,Jan,2,Sun,19,3,40
0,BDBR,NOVAS REGRAS VOOS,ARTE,GVB,2022,Jan,3,Mon,22,23,47
1,BDDF,CASOSXMORTES 2020-2021,ARTE,GVB,2022,Jan,3,Mon,20,53,31
2,BDDF,CASOSXMORTES 2020-2021,ARTE,GVB,2022,Jan,3,Mon,23,6,59
3,BDDF,CICLOVIA,MAPA,GVB,2022,Jan,3,Mon,23,2,36
4,BDDF,CICLOVIA,MAPA,GVB,2022,Jan,3,Mon,23,4,56
5,BDDF,MERCADO IMOBILIARIO,ARTE,WMB,2022,Jan,3,Mon,20,50,46
6,BDDF,MERCADO IMOBILIARIO,ARTE,GVB,2022,Jan,3,Mon,23,24,18
7,BDDF,MERCADO IMOBILIARIO,ARTE,WMB,2022,Jan,3,Mon,21,9,25
8,BDDF,REGRAS FIES,ARTE,GVB,2022,Jan,3,Mon,20,24,8
9,BDDF,REGRAS ONIBUS E AVIAO,ARTE,GVB,2022,Jan,3,Mon,20,16,37
10,BDDF,REGRAS ONIBUS E AVIAO,ARTE,GVB,2022,Jan,3,Mon,21,51,37
11,DF1,ESCORPIÃO,ARTE,x,2022,Jan,3,Mon,11,36,53
12,DF1,ESCORPIÃO,ARTE,x,2022,Jan,3,Mon,11,35,49
13,DF1,PONTE MELCHIOR,MAPA,KMB,2022,Jan,3,Mon,10,56,36
14,DF1,PONTE MELCHIOR,MAPA,KMB,2022,Jan,3,Mon,11,48,41
15,DF2,POLEMICA OUTDOORS,DESTAQUE,GVB,2022,Jan,3,Mon,16,5,33
16,DF2,POLEMICA OUTDOORS,DESTAQUE,GVB,2022,Jan,3,Mon,16,5,50
17,DF2,POLEMICA OUTDOORS,DESTAQUE,GVB,2022,Jan,3,Mon,16,6,7
18,GE,CRUZEIRO,DESTAQUE,x,2022,Jan,3,Mon,8,24,34
19,GNEWS,BALANCA COMERCIAL,TELA,x,2022,Jan,3,Mon,21,45,41
20,GNEWS,BALANCA COMERCIAL,TELA,x,2022,Jan,3,Mon,21,59,45
21,GNEWS,CONEXAO,TELA,KMB,2022,Jan,3,Mon,8,15,1
22,GNEWS,CONEXAO,TELA,KMB,2022,Jan,3,Mon,8,21,41
23,GNEWS,CONEXAO,TELA,KMB,2022,Jan,3,Mon,8,31,56
24,GNEWS,J10,DESTAQUE,GVB,2022,Jan,3,Mon,18,42,30
25,GNEWS,JOGO ELEITORAL,TELA,GVB,2022,Jan,3,Mon,19,58,52
26,GNEWS,JOGO ELEITORAL,TELA,GVB,2022,Jan,3,Mon,21,5,32
27,GNEWS,O QUE VEM POR AI,ARTE,x,2022,Jan,3,Mon,9,30,27
28,GNEWS,O QUE VEM POR AI,ARTE,x,2022,Jan,3,Mon,9,31,5
29,GNEWS,O QUE VEM POR AI,ARTE,x,2022,Jan,3,Mon,9,37,59
30,GNEWS,O QUE VEM POR AI,ARTE,x,2022,Jan,3,Mon,9,38,47
31,GNEWS,POSICIONAMENTO CLIA,DESTAQUE,GVB,2022,Jan,3,Mon,16,52,7
32,GNEWS,RECOMENDACAO ANVISA,DESTAQUE,GVB,2022,Jan,3,Mon,21,12,43
33,GNEWS,TWITTER PRESIDENTE,DESTAQUE,KMB,2022,Jan,3,Mon,9,48,2
34,JG,NOTA MS,DESTAQUE,GVB,2022,Jan,3,Mon,23,10,50
35,JH,CONSIGNADO,ARTE,x,2022,Jan,3,Mon,12,8,15
0,BDBR,DESTAQUE CONTA ENERGIA,DESTAQUE,x,2022,Jan,4,Tue,23,2,42
1,BDBR,DESTAQUE CONTA ENERGIA,DESTAQUE,x,2022,Jan,4,Tue,23,43,19
2,BDBR,NOVAS REGRAS VOOS,ARTE,GVB,2022,Jan,4,Tue,7,18,19
3,BDDF,DF,ARTE,x,2022,Jan,4,Tue,22,2,19
4,BDDF,DF,ARTE,GVB,2022,Jan,4,Tue,22,14,16
5,BDDF,DOCUMENTO,FOTO,GVB,2022,Jan,4,Tue,23,5,30
6,BDDF,EVOLUCAO RESERVATORIOS,ARTE,GVB,2022,Jan,4,Tue,21,50,31
7,BDDF,EVOLUCAO RESERVATORIOS,ARTE,GVB,2022,Jan,4,Tue,23,52,4
8,BDDF,MEDICOS NAS UPAS,ARTE,GVB,2022,Jan,4,Tue,23,49,42
9,BDDF,MORAR BEM,ARTE,GVB,2022,Jan,4,Tue,19,28,19
