,PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS,VERSÃO
0,BDBR,CAMPANHA DA FRATERNIDADE destaquePag03,DESTAQUE,GVB,2022,Mar,1,Tue,22,9,0,
1,BDBR,CAMPANHA DA FRATERNIDADE destaquePag05,DESTAQUE,GVB,2022,Mar,1,Tue,22,10,51,
2,BDDF,ALTO CUSTO asa sul,ARTE,GVB,2022,Mar,1,Tue,0,57,54,
3,BDDF,ALTO CUSTO ceilandia,ARTE,GVB,2022,Mar,1,Tue,0,58,23,
4,BDDF,ALTO CUSTO gama,ARTE,GVB,2022,Mar,1,Tue,0,58,51,
5,BDDF,AMBULANCIA,ARTE,AMB,2022,Mar,1,Tue,21,50,54,
6,BDDF,ESPORTE copa do brasil,ARTE,GVB,2022,Mar,1,Tue,20,52,15,
7,BDDF,IMPOSTO DE RENDA 2,ARTE,GVB,2022,Mar,1,Tue,0,21,38,
8,BDDF,VACINOMETRO,ARTE,x,2022,Mar,1,Tue,20,12,32,
9,DF1,CHICO ANGU likes,DESTAQUE,x,2022,Mar,1,Tue,11,9,9,
10,DF1,CHICO ANGU tuites,DESTAQUE,x,2022,Mar,1,Tue,11,9,0,
11,DF1,CHICO ANGU,x,x,2022,Mar,1,Tue,10,26,17,
12,DF1,CHICO ANGU,MAPA,KMB,2022,Mar,1,Tue,8,58,24,
13,DF1,CHICO ANGU,PASSEIO,KMB,2022,Mar,1,Tue,9,18,23,
14,DF1,FALTA ONCOLOGISTA,ARTE,KMB,2022,Mar,1,Tue,7,58,56,
15,DF2,ACIDENTE LAGO,x,GVB,2022,Mar,1,Tue,18,23,14,
16,DF2,BEBE ESCOLA NOTA SECRETARIA,DESTAQUE,AMB,2022,Mar,1,Tue,18,27,33,
17,DF2,BEBE,DESTAQUE,x,2022,Mar,1,Tue,18,12,44,
18,DF2,BEBE,DESTAQUE,x,2022,Mar,1,Tue,18,20,8,
19,DF2,BEBE,DESTAQUE,x,2022,Mar,1,Tue,18,46,37,
20,DF2,BEBE,DESTAQUE,x,2022,Mar,1,Tue,19,12,50,
21,DF2,COVID,DESTAQUE,x,2022,Mar,1,Tue,17,11,4,
22,DF2,COVID,GRAFICO,x,2022,Mar,1,Tue,16,54,55,
23,DF2,COVID,GRAFICO,x,2022,Mar,1,Tue,18,23,45,
24,DF2,COVID,GRAFICO,x,2022,Mar,1,Tue,18,31,21,
25,DF2,VAZA ESGOTO adasa,DESTAQUE,GVB,2022,Mar,1,Tue,17,54,38,
26,DF2,VAZA ESGOTO pericia 01,DESTAQUE,GVB,2022,Mar,1,Tue,18,25,14,
27,DF2,VAZA ESGOTO pericia 02,DESTAQUE,GVB,2022,Mar,1,Tue,18,26,36,
28,DF2,VAZA ESGOTO pericia,DESTAQUE,GVB,2022,Mar,1,Tue,17,55,18,
29,GNEWS,FERTILIZANTES,ARTE,x,2022,Mar,1,Tue,15,33,37,
30,GNEWS,MANIFESTO,x,x,2022,Mar,1,Tue,17,48,29,
31,JH,FERTILIZANTES,ARTE,GVB,2022,Mar,1,Tue,12,30,30,
0,BDBR,ITAMARATY BRASILEIROS arte instrucoes,DESTAQUE,x,2022,Mar,2,Wed,23,6,24,
1,BDBR,ITAMARATY BRASILEIROS arte instrucoes,DESTAQUE,x,2022,Mar,2,Wed,23,44,44,
2,BDBR,ITAMARATY BRASILEIROS arte instrucoes,DESTAQUE,x,2022,Mar,2,Wed,23,50,17,
3,BDDF,AVANCO BARRIL PETROLEO,TELA,GVB,2022,Mar,2,Wed,22,12,22,
4,BDDF,AVANCO BARRIL PETROLEO,TELA,GVB,2022,Mar,2,Wed,22,14,43,
5,BDDF,DENGUE CEILANDIA,ARTE,TFB,2022,Mar,2,Wed,23,46,33,
6,BDDF,DENGUE DF,ARTE,TFB,2022,Mar,2,Wed,23,39,29,
7,BDDF,EVOLUCAO PRECO GASOLINA,TELA,GVB,2022,Mar,2,Wed,22,30,31,
8,BDDF,PRECATORIOS,ARTE,FQB,2022,Mar,2,Wed,22,53,42,
9,BDDF,PRECO DOLAR,TELA,GVB,2022,Mar,2,Wed,22,21,54,
10,BDDF,TAXA DE TRANSMISSAO,ARTE,GVB,2022,Mar,2,Wed,18,20,46,
