PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,DIARIO OFICIAL,DESTAQUE,x,2022,Jan,12,Wed,8,53,0
BDBR,FOTOS VACINACAO,FOTO,x,2022,Jan,12,Wed,22,31,26
BDBR,FOTOS VACINACAO,FOTO,x,2022,Jan,12,Wed,22,31,21
BDBR,INFLACAO GRAFICO,GRAFICO,x,2022,Jan,12,Wed,0,56,26
BDBR,INFLACAO GRAFICO,GRAFICO,x,2022,Jan,12,Wed,0,57,57
BDBR,INFLACAO GRAFICO,GRAFICO,x,2022,Jan,12,Wed,7,38,58
BDBR,REGULARIZA DIVIDA 03,x,x,2022,Jan,12,Wed,8,8,18
BDBR,REGULARIZA DIVIDA,x,x,2022,Jan,12,Wed,0,18,15
BDBR,REGULARIZA DIVIDA,x,x,2022,Jan,12,Wed,8,9,0
BDBR,REGULARIZA DIVIDA,ARTE,x,2022,Jan,12,Wed,7,27,43
BDBR,REGULARIZA DIVIDA,ARTE,x,2022,Jan,12,Wed,7,34,15
BDBR,REGULARIZA DIVIDA,ARTE,x,2022,Jan,12,Wed,7,42,39
BDDF,COMBUSTIVEIS,ARTE,x,2022,Jan,12,Wed,5,34,46
BDDF,CRONICA CAFEZINHO,x,GVB,2022,Jan,12,Wed,22,55,49
BDDF,DINHEIRO EM CIRCULACAO,x,x,2022,Jan,12,Wed,22,43,29
BDDF,MARE ALTA,DESTAQUE,x,2022,Jan,12,Wed,7,11,0
BDDF,MARE ALTA,DESTAQUE,x,2022,Jan,12,Wed,8,33,51
BDDF,MASCARAS,ARTE,x,2022,Jan,12,Wed,5,30,49
BDDF,MASCARAS,ARTE,x,2022,Jan,12,Wed,6,28,39
BDDF,MASCARAS,ARTE,x,2022,Jan,12,Wed,5,54,16
BDDF,MEDIDAS DE RESTRICAO,x,x,2022,Jan,12,Wed,23,19,7
BDDF,REGRAS,ARTE,x,2022,Jan,12,Wed,23,42,12
BDDF,REGRAS,ARTE,x,2022,Jan,12,Wed,23,42,22
BDDF,REGRAS,ARTE,x,2022,Jan,12,Wed,23,42,2
