PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,ECONOMIA,ARTE,x,2022,Feb,2,Wed,22,4,47
BDBR,ECONOMIA,DISPLAY,x,2022,Feb,2,Wed,22,41,28
BDBR,ECONOMIA,DISPLAY,x,2022,Feb,2,Wed,22,5,4
BDBR,ECONOMIA,DISPLAY,x,2022,Feb,2,Wed,23,3,15
BDBR,SEM DISPLAY,DISPLAY,x,2022,Feb,2,Wed,23,11,25
BDBR,NUMEROS,x,x,2022,Feb,2,Wed,22,48,58
BDBR,NUMEROS,x,x,2022,Feb,2,Wed,22,49,9
BDDF,ADOTE UMA PARADA,ARTE,x,2022,Feb,2,Wed,22,26,55
BDDF,DENGUE,x,x,2022,Feb,2,Wed,22,36,18
BDDF,DENGUE,x,x,2022,Feb,2,Wed,22,36,34
BDDF,DENGUE,x,x,2022,Feb,2,Wed,22,36,7
BDDF,DESEMPREGO,ARTE,x,2022,Feb,2,Wed,23,57,0
BDDF,FATO OU FAKE,x,x,2022,Feb,2,Wed,17,49,24
BDDF,FATO OU FAKE,x,x,2022,Feb,2,Wed,17,49,56
BDDF,Feminicidio,x,x,2022,Feb,2,Wed,23,43,12
BDDF,NOTA,x,x,2022,Feb,2,Wed,22,56,32
BDDF,NOTA,x,x,2022,Feb,2,Wed,23,37,11
BDDF,PARCELAMENTOS DE DIVIDAS,x,x,2022,Feb,2,Wed,23,2,37
BDDF,PROVA DE VIDA,ARTE,x,2022,Feb,2,Wed,21,13,2
BDDF,SALARIOS,ARTE,x,2022,Feb,2,Wed,23,51,54
DF1,DEPUTADO FEBRE,DESTAQUE,x,2022,Feb,2,Wed,10,19,52
DF1,FOTOS,FOTO,x,2022,Feb,2,Wed,11,21,38
DF1,OCUPACAO LEITOS,DESTAQUE,x,2022,Feb,2,Wed,9,58,4
DF1,OCUPACAO LEITOS,DESTAQUE,x,2022,Feb,2,Wed,10,3,59
DF1,OPERACAO TCDF,ARTE,x,2022,Feb,2,Wed,10,54,14
DF1,PERG AO DOUTOR,ARTE,x,2022,Feb,2,Wed,9,30,13
DF1,SOL NASCENTE,ARTE,KMB,2022,Feb,2,Wed,10,26,32
DF1,SOL NASCENTE,ARTE,KMB,2022,Feb,2,Wed,10,27,38
DF1,SOL NASCENTE,ARTE,KMB,2022,Feb,2,Wed,10,30,42
DF1,SOL NASCENTE,ARTE,KMB,2022,Feb,2,Wed,12,44,49
DF2,AUDIENCIA CUSTODIA,DESTAQUE,KLB,2022,Feb,2,Wed,16,40,7
DF2,AUDIENCIA CUSTODIA,DESTAQUE,KLB,2022,Feb,2,Wed,16,48,3
DF2,AUDIENCIA CUSTODIA,DESTAQUE,KLB,2022,Feb,2,Wed,17,6,58
DF2,DESTAQUE,DESTAQUE,PHB,2022,Feb,2,Wed,17,20,35
GE,SELO,x,PHB,2022,Feb,2,Wed,16,42,41
GNEWS,ABONO SALARIAL PIS PASEP,ARTE,KMB,2022,Feb,2,Wed,11,3,56
GNEWS,MOVIMENTACOES PARTIDARIAS,ARTE,x,2022,Feb,2,Wed,20,34,9
GNEWS,MOVIMENTACOES PARTIDARIAS,ARTE,x,2022,Feb,2,Wed,21,36,11
GNEWS,MOVIMENTACOES PARTIDARIAS,ARTE,x,2022,Feb,2,Wed,20,26,39
GNEWS,PF BOLSO VAZAMENTO,DESTAQUE,x,2022,Feb,2,Wed,12,26,58
GNEWS,PIS PASEP,ARTE,KMB,2022,Feb,2,Wed,10,55,21
GNEWS,RAIO X ,ARTE,x,2022,Feb,2,Wed,18,4,47
GNEWS,TELAO,TELA,x,2022,Feb,2,Wed,21,42,7
GNEWS,TELAO,TELA,x,2022,Feb,2,Wed,21,14,48
GNEWS,TELAO,TELA,x,2022,Feb,2,Wed,21,48,6
GNEWS,TELAO,TELA,x,2022,Feb,2,Wed,22,4,29
JH,INQUERITO BOLSONARO,DESTAQUE,KMB,2022,Feb,2,Wed,12,54,8
JH,INQUERITO BOLSONARO,DESTAQUE,KMB,2022,Feb,2,Wed,13,0,47
JH,INQUERITO BOLSONARO,DESTAQUE,KMB,2022,Feb,2,Wed,13,30,39
JH,INQUERITO BOLSONARO,DESTAQUE,KMB,2022,Feb,2,Wed,13,4,25
JH,LINHAS DE TRANSMISSAO,MAPA,IRB,2022,Feb,2,Wed,10,38,39
JH,LINHAS DE TRASMINSSAO,MAPA,KMB,2022,Feb,2,Wed,10,31,21
JH,PROVA DE VIDA,ARTE,x,2022,Feb,2,Wed,12,57,10
JH,PROVA DE VIDA,ARTE,x,2022,Feb,2,Wed,13,20,59
JH,PROVA DE VIDA,ARTE,x,2022,Feb,2,Wed,13,29,38
JH,PROVA DE VIDA,DESTAQUE,x,2022,Feb,2,Wed,12,0,4
JH,PROVA DE VIDA,DESTAQUE,x,2022,Feb,2,Wed,11,59,53
JN,CENSO ESCOLAR,ARTE,x,2022,Feb,2,Wed,19,15,41
JN,CENSO ESCOLAR,ARTE,x,2022,Feb,2,Wed,19,19,0
GE,CENSO ESCOLAR,x,x,2022,Feb,2,Wed,20,12,11
JN,PROVA,ARTE,x,2022,Feb,2,Wed,19,56,25
JN,PROVA,ARTE,x,2022,Feb,2,Wed,19,58,50
