PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,DESTAQUE CONTA ENERGIA,DESTAQUE,x,2022,Jan,4,Tue,23,2,42
BDBR,DESTAQUE CONTA ENERGIA,DESTAQUE,x,2022,Jan,4,Tue,23,43,19
BDBR,NOVAS REGRAS VOOS,ARTE,GVB,2022,Jan,4,Tue,7,18,19
BDDF,DF,ARTE,x,2022,Jan,4,Tue,22,2,19
BDDF,DF,ARTE,GVB,2022,Jan,4,Tue,22,14,16
BDDF,DOCUMENTO,FOTO,GVB,2022,Jan,4,Tue,23,5,30
BDDF,EVOLUCAO RESERVATORIOS,ARTE,GVB,2022,Jan,4,Tue,21,50,31
BDDF,EVOLUCAO RESERVATORIOS,ARTE,GVB,2022,Jan,4,Tue,23,52,4
BDDF,MEDICOS NAS UPAS,ARTE,GVB,2022,Jan,4,Tue,23,49,42
BDDF,MORAR BEM,ARTE,GVB,2022,Jan,4,Tue,19,28,19
BDDF,NOVA CNH,ARTE,x,2022,Jan,4,Tue,5,54,41
BDDF,TAXA DE TRANSMISSAO,ARTE,x,2022,Jan,4,Tue,22,5,15
BDDF,UPAS OBRAS,x,x,2022,Jan,4,Tue,21,47,42
BDDF,UPAS OBRAS,x,x,2022,Jan,4,Tue,21,50,39
BDDF,UPAS,MAPA,x,2022,Jan,4,Tue,21,47,35
BDDF,UPAS,MAPA,x,2022,Jan,4,Tue,21,51,16
BDDF,VAGAS ESTAGIO,ARTE,GVB,2022,Jan,4,Tue,19,49,42
DF1,NO FIM DAS CONTAS,ARTE,x,2022,Jan,4,Tue,6,17,3
DF1,NO FIM DAS CONTAS,ARTE,x,2022,Jan,4,Tue,6,15,49
DF1,NO FIM DAS CONTAS,ARTE,x,2022,Jan,4,Tue,11,8,43
DF1,NO FIM DAS CONTAS,ARTE,x,2022,Jan,4,Tue,11,10,51
DF1,RONDA HOSPITAIS,DESTAQUE,KMB,2022,Jan,4,Tue,9,11,11
DF1,SEDENTARISMO,ARTE,x,2022,Jan,4,Tue,11,35,30
DF1,TAXA DE TRANSMISSAO,ARTE,x,2022,Jan,4,Tue,11,16,48
DF1,TRETA DETRAN,DESTAQUE,KMB,2022,Jan,4,Tue,9,43,9
DF1,TRETA DETRAN,x,KMB,2022,Jan,4,Tue,10,0,5
DF1,TRETA DETRAN,x,KMB,2022,Jan,4,Tue,10,11,54
DF1,TRETA DETRAN,FOTO,KMB,2022,Jan,4,Tue,9,36,12
DF2,DESTAQUE,DESTAQUE,PHB,2022,Jan,4,Tue,17,12,27
DF2,IMPOSTOS 2022,ARTE,GVB,2022,Jan,4,Tue,17,37,31
DF2,IMPOSTOS 2022,ARTE,GVB,2022,Jan,4,Tue,17,58,5
DF2,INFORMACOES INFLUENZA,DESTAQUE,GVB,2022,Jan,4,Tue,17,16,14
DF2,MORAR BEM,ARTE,x,2022,Jan,4,Tue,17,52,58
GE,TIME CASTANHAL,MAPA,x,2022,Jan,4,Tue,9,51,54
GE,TIME CASTANHAL,MAPA,x,2022,Jan,4,Tue,10,26,36
GE,PARTE 1,ARTE,x,2022,Jan,4,Tue,20,45,38
GE,PARTE 2,ARTE,x,2022,Jan,4,Tue,20,46,21
GNEWS,ANVISA,DESTAQUE,x,2022,Jan,4,Tue,10,45,1
GNEWS,ANVISA,DESTAQUE,x,2022,Jan,4,Tue,10,46,10
GNEWS,CALENDARIO ELEITORAL,TELA,GVB,2022,Jan,4,Tue,20,12,13
GNEWS,CALENDARIO ELEITORAL,TELA,GVB,2022,Jan,4,Tue,20,34,55
GNEWS,CONSIGNADO,ARTE,KMB,2022,Jan,4,Tue,13,58,38
GNEWS,CONSIGNADO,ARTE,KMB,2022,Jan,4,Tue,14,2,27
GNEWS,CONSIGNADO,ARTE,KMB,2022,Jan,4,Tue,14,6,27
GNEWS,CONSIGNADO,ARTE,KMB,2022,Jan,4,Tue,13,55,9
GNEWS,REGRAS ELEICOES,TELA,GVB,2022,Jan,4,Tue,19,19,39
GNEWS,RELATORIO FINAL CPI COVID,x,WMB,2022,Jan,4,Tue,22,12,14
H1,DESCONTO ENERGIA,ARTE,x,2022,Jan,4,Tue,22,48,28
JG,ENERGIA,x,x,2022,Jan,4,Tue,22,6,32
JH,AUDIENCIA PUBLICA,DESTAQUE,x,2022,Jan,4,Tue,10,34,28
JH,AUDIENCIA PUBLICA,DESTAQUE,x,2022,Jan,4,Tue,12,5,10
JH,AUDIENCIA PUBLICA,DESTAQUE,x,2022,Jan,4,Tue,12,5,52
JH,AUXILIO FILA,ARTE,KLB,2022,Jan,4,Tue,12,14,47
JH,CONSIGNADO,ARTE,KMB,2022,Jan,4,Tue,11,45,52
JH,CONSIGNADO,ARTE,KMB,2022,Jan,4,Tue,11,58,55
JH,CONSIGNADO,ARTE,IRB,2022,Jan,4,Tue,11,54,11
JH,CONSIGNADO,ARTE,IRB,2022,Jan,4,Tue,12,33,26
JH,CONSIGNADO,ARTE,KMB,2022,Jan,4,Tue,11,28,15
GE,REGRA PASSAGENS,ARTE,x,2022,Jan,4,Tue,20,7,41
