PRODUÇÃO,RETRANCA,TIPO,ARTISTA,VERSÃO,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,SAUDE MENSTRUAL,ARTE,GVB,V3,2022,Mar,9,Wed,0,2,31
BDDF,ESPORTE SELO BASQUETE,ARTE,FQB,V1,2022,Mar,9,Wed,21,55,48
BDDF,FARMACIA ALTO CUSTO,DESTAQUE,x,V1,2022,Mar,9,Wed,22,51,22
BDDF,FILA DA ADOCAO,ARTE,GVB,V1,2022,Mar,9,Wed,19,47,32
BDDF,MEGA SENA 1,ARTE,KMB,V1,2022,Mar,9,Wed,5,46,31
BDDF,MEGA SENA 2,ARTE,KMB,V1,2022,Mar,9,Wed,6,2,27
BDDF,REPASSES ONIBUS,ARTE,x,x,2022,Mar,9,Wed,21,35,25
BDDF,REPASSES ONIBUS,ARTE,x,V2,2022,Mar,9,Wed,22,0,18
BDDF,ROUBOS SANTA MARIA,ARTE,FQB,V1,2022,Mar,9,Wed,19,54,5
BDDF,TRANSPPLANTE,ARTE,x,V1,2022,Mar,9,Wed,18,47,31
BDDF,VARA INFANCIA,DESTAQUE,x,V1,2022,Mar,9,Wed,19,32,23
DF1,PERGUNTE AO DOUTOR,ARTE,KMB,V1,2022,Mar,9,Wed,8,54,25
DF1,PRECO GAS,ARTE,AMB,V1,2022,Mar,9,Wed,11,35,6
DF1,PRECO GAS,ARTE,AMB,V2,2022,Mar,9,Wed,11,39,5
DF1,PRECO GAS,ARTE,AMB,V3,2022,Mar,9,Wed,12,11,43
DF1,PRECO GAS,ARTE,AMB,V4,2022,Mar,9,Wed,12,12,31
x,GATOS FUMACINHA OPCAO 1,FOTO,AMB,V1,2022,Mar,9,Wed,9,21,12
x,GATOS FUMACINHA OPCAO 2,FOTO,AMB,V1,2022,Mar,9,Wed,9,55,25
x,GATOS JUREMA OPCAO 1,FOTO,AMB,V1,2022,Mar,9,Wed,9,20,52
x,GATOS JUREMA OPCAO 2,FOTO,AMB,V1,2022,Mar,9,Wed,9,55,2
x,GATOS MALU OPCAO 1,FOTO,AMB,V1,2022,Mar,9,Wed,9,20,30
x,GATOS MALU OPCAO 2,FOTO,AMB,V1,2022,Mar,9,Wed,9,54,43
GNEWS,ATO PELA TERRA,ARTE,GVB,V1,2022,Mar,9,Wed,20,59,50
GNEWS,BASE,x,PHB,V1,2022,Mar,9,Wed,17,8,52
GNEWS,BASE,x,PHB,V2,2022,Mar,9,Wed,17,27,13
GNEWS,CLAQUETE 1,ARTE,x,V2,2022,Mar,9,Wed,21,34,7
GNEWS,CLAQUETE 2,ARTE,x,V2,2022,Mar,9,Wed,21,34,55
GNEWS,CLAQUETE 3,ARTE,x,V2,2022,Mar,9,Wed,21,35,43
GNEWS,CLAQUETE CAETANO,ARTE,x,x,2022,Mar,9,Wed,21,12,16
GNEWS,CLAQUETECAETANO,ARTE,x,V1,2022,Mar,9,Wed,21,22,45
GNEWS,CLAQUETECAETANO,ARTE,x,V1,2022,Mar,9,Wed,21,23,37
GNEWS,CLAQUETECAETANO,ARTE,x,V1,2022,Mar,9,Wed,21,22,25
GNEWS,COMBUSTIVEIS,ARTE,TFB,V2,2022,Mar,9,Wed,11,10,5
GNEWS,JOGOS ELEITORAIS BY,ARTE,x,V1,2022,Mar,9,Wed,20,54,0
JH,PRECOS COMBUSTIVEIS 1,ARTE,KMB,V1,2022,Mar,9,Wed,11,27,20
