PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,REAGE CLOROQUINA,DESTAQUE,x,2022,Jan,24,Mon,23,25,34
BDBR,SANCAO ORCAMENTO,ARTE,x,2022,Jan,24,Mon,8,17,14
BDBR,SANCAO ORCAMENTO,ARTE,x,2022,Jan,24,Mon,8,0,30
BDBR,SANCAO ORCAMENTO,DESTAQUE,x,2022,Jan,24,Mon,7,43,34
BDDF,LINHAS,x,x,2022,Jan,24,Mon,21,40,37
BDDF,ACIDENTES BR080,x,x,2022,Jan,24,Mon,22,28,23
BDDF,AUDIENCIA,ARTE,x,2022,Jan,24,Mon,5,9,24
BDDF,CUIDADOS AGUA,x,x,2022,Jan,24,Mon,23,7,7
BDDF,EMPRESAS PANDEMIA,ARTE,KLB,2022,Jan,24,Mon,19,7,1
BDDF,MASCARAS RECOMENDADAS,ARTE,x,2022,Jan,24,Mon,5,36,40
BDDF,MASCARAS RECOMENDADAS,ARTE,x,2022,Jan,24,Mon,5,32,36
BDDF,NUMEROS DE CASOS,ARTE,x,2022,Jan,24,Mon,22,32,28
BDDF,NUMEROS DE CASOS,ARTE,x,2022,Jan,24,Mon,22,6,13
BDDF,REPASSES PARA EMPRESAS,x,x,2022,Jan,24,Mon,22,0,35
BDDF,REPASSES PARA EMPRESAS,x,x,2022,Jan,24,Mon,22,27,16
BDDF,REPASSES PARA EMPRESAS,x,x,2022,Jan,24,Mon,22,18,36
DF1,COVID DF,ARTE,KMB,2022,Jan,24,Mon,11,9,18
DF1,DEMITE IGES,DESTAQUE,x,2022,Jan,24,Mon,9,48,54
DF1,DEMITE IGES,DESTAQUE,x,2022,Jan,24,Mon,9,55,7
DF1,DEMITE IGES,DESTAQUE,x,2022,Jan,24,Mon,9,54,39
DF1,DEMITE IGES,DESTAQUE,x,2022,Jan,24,Mon,9,48,39
DF1,DEMITE IGES,DESTAQUE,x,2022,Jan,24,Mon,9,51,31
DF1,DEMITE IGES,DESTAQUE,x,2022,Jan,24,Mon,11,49,40
DF1,DEMITE IGES,DESTAQUE,x,2022,Jan,24,Mon,11,52,59
DF1,DEMITE IGES,FOTO,x,2022,Jan,24,Mon,9,55,17
DF1,DESTAQUE,DESTAQUE,PHB,2022,Jan,24,Mon,16,15,20
DF1,EMPREGO,ARTE,x,2022,Jan,24,Mon,11,47,57
DF1,EMPREGO,ARTE,x,2022,Jan,24,Mon,12,5,42
DF1,MILHAS E CASHBACK,TELA,x,2022,Jan,24,Mon,21,52,16
DF1,MILHAS E CASHBACK,TELA,x,2022,Jan,24,Mon,21,52,36
DF2,BECOS,ARTE,KLB,2022,Jan,24,Mon,17,14,21
