PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,RENEGOCIACAO,x,x,2022,Feb,10,Thu,22,54,15
BDBR,PROJETO AGROTOXICOS,ARTE,x,2022,Feb,10,Thu,0,28,25
BDBR,PROJETO AGROTOXICOS,ARTE,x,2022,Feb,10,Thu,0,34,10
BDDF,FIES,x,x,2022,Feb,10,Thu,21,58,26
BDDF,NO,x,x,2022,Feb,10,Thu,21,57,40
BDDF,BENEFICIOS PCDF,ARTE,x,2022,Feb,10,Thu,0,0,20
BDDF,CRONICA PORTEIRO,ARTE,x,2022,Feb,10,Thu,20,15,40
BDDF,CRONICA PORTEIRO,ARTE,x,2022,Feb,10,Thu,20,17,42
BDDF,DADOS MATRICULAS,ARTE,x,2022,Feb,10,Thu,23,34,30
BDDF,FATO OU FAKE,x,x,2022,Feb,10,Thu,6,7,55
BDDF,FATO OU FAKE,x,x,2022,Feb,10,Thu,6,8,5
BDDF,LEITOS DE UTI,ARTE,x,2022,Feb,10,Thu,23,37,42
BDDF,LEITOS DE UTI,ARTE,x,2022,Feb,10,Thu,23,37,53
BDDF,OBRAS ESCOLAS,ARTE,x,2022,Feb,10,Thu,23,46,57
BDDF,STORY,x,x,2022,Feb,10,Thu,23,31,29
DF1,BERMUDA STJ,x,x,2022,Feb,10,Thu,10,51,35
DF1,BERMUDA STJ,x,x,2022,Feb,10,Thu,10,51,27
DF1,BERMUDA STJ,x,x,2022,Feb,10,Thu,10,51,19
DF1,CAFE BACANA,ARTE,KMB,2022,Feb,10,Thu,10,35,34
DF1,LICITACAO BRA,ARTE,KMB,2022,Feb,10,Thu,10,4,27
DF1,LICITACAO BRA,ARTE,KMB,2022,Feb,10,Thu,10,36,55
DF1,LICITACAO BRA,ARTE,KMB,2022,Feb,10,Thu,10,6,44
DF1,LICITACAO BRA,DESTAQUE,KMB,2022,Feb,10,Thu,9,50,50
GE,LICITACAO BRA,x,KMB,2022,Feb,10,Thu,10,57,8
DF1,PESQUISA COVID,GRAFICO,KMB,2022,Feb,10,Thu,10,49,28
DF1,Sem Tratamento,ARTE,x,2022,Feb,10,Thu,10,40,0
DF1,VOLTA AS AULAS,ARTE,x,2022,Feb,10,Thu,10,16,27
DF1,VOLTA AS AULAS,ARTE,x,2022,Feb,10,Thu,10,22,43
DF2,CAFE BACANA,ARTE,KMB,2022,Feb,10,Thu,17,31,20
DF2,CAMARA CANCELA,DESTAQUE,x,2022,Feb,10,Thu,18,15,15
DF2,COVID,DESTAQUE,x,2022,Feb,10,Thu,16,15,18
DF2,DESTAQUE,DESTAQUE,PHB,2022,Feb,10,Thu,17,34,30
DF2,DESTAQUE,DESTAQUE,PHB,2022,Feb,10,Thu,18,27,43
DF2,FIOCRUZ,DESTAQUE,x,2022,Feb,10,Thu,17,48,19
DF2,FIOCRUZ,PASSEIO,x,2022,Feb,10,Thu,18,32,24
DF2,FIOCRUZ,PASSEIO,x,2022,Feb,10,Thu,17,45,25
GE,DITADO,ARTE,x,2022,Feb,10,Thu,11,33,6
GE,REAL BRASILIA,DESTAQUE,x,2022,Feb,10,Thu,10,45,24
GE,SUPERCOPA FEM,FOTO,KMB,2022,Feb,10,Thu,12,35,8
GE,SUPERCOPA FEM,FOTO,KMB,2022,Feb,10,Thu,12,35,14
GE,VASCO,FOTO,x,2022,Feb,10,Thu,10,11,41
GE,VASCO,FOTO,x,2022,Feb,10,Thu,10,7,56
GNEWS,FEDERACOES,ARTE,x,2022,Feb,10,Thu,16,5,39
J10,J10,x,x,2022,Feb,10,Thu,20,16,47
GNEWS,ORCAMENTO,ARTE,x,2022,Feb,10,Thu,13,49,0
GNEWS,ORCAMENTO,ARTE,x,2022,Feb,10,Thu,13,47,53
GNEWS,ORCAMENTO,ARTE,x,2022,Feb,10,Thu,13,46,52
GNEWS,PROJETO AGROTOXICOS,ARTE,KMB,2022,Feb,10,Thu,7,16,28
GNEWS,PROJETO AGROTOXICOS,ARTE,KMB,2022,Feb,10,Thu,8,14,22
GNEWS,SUGESTÕES,ARTE,PHB,2022,Feb,10,Thu,16,35,28
GNEWS,TRATAMENTO CANCER,ARTE,x,2022,Feb,10,Thu,17,16,9
GNEWS,VACINAÇÃO,x,PHB,2022,Feb,10,Thu,14,36,20
H1,AGROTOXICO,ARTE,x,2022,Feb,10,Thu,0,6,42
J10,FOTOS,FOTO,x,2022,Feb,10,Thu,20,36,6
J10,RENEGOCIACAO FIES,ARTE,x,2022,Feb,10,Thu,22,14,58
JG,POLICIA FEDERAL,x,x,2022,Feb,10,Thu,23,5,13
JG,POLICIA FEDERAL,x,x,2022,Feb,10,Thu,22,59,27
JG,POLICIA FEDERAL,x,x,2022,Feb,10,Thu,22,47,54
JG,POLICIA FEDERAL,x,x,2022,Feb,10,Thu,23,22,48
JG,POLICIA FEDERAL,x,x,2022,Feb,10,Thu,23,1,18
JG,POLICIA FEDERAL,x,x,2022,Feb,10,Thu,23,12,42
JH,ENEM,ARTE,x,2022,Feb,10,Thu,13,9,2
JN,DESTAQUE,DESTAQUE,PHB,2022,Feb,10,Thu,19,57,33
JN,FEDERACOES,ARTE,x,2022,Feb,10,Thu,19,13,30
JN,FEDERACOES,ARTE,x,2022,Feb,10,Thu,19,38,37
JN,MARIO FRIAS,DESTAQUE,x,2022,Feb,10,Thu,20,6,16
JN,MARIO FRIAS,DESTAQUE,x,2022,Feb,10,Thu,20,31,22
JN,MARIO FRIAS,DESTAQUE,x,2022,Feb,10,Thu,19,47,28
JN,MARIO FRIAS,DESTAQUE,x,2022,Feb,10,Thu,19,48,28
JN,MARIO FRIAS,FOTO,x,2022,Feb,10,Thu,20,31,44
JN,MARIO FRIAS,PASSEIO,x,2022,Feb,10,Thu,17,44,8
JN,MARIO FRIAS,x,x,2022,Feb,10,Thu,19,53,59
