PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,VERBAS CHUVAS GRAFICO,GRAFICO,x,2022,Jan,5,Wed,23,58,20
BDDF,AUTONOMOS ARTE,ARTE,x,2022,Jan,5,Wed,20,16,47
BDDF,COVID-19 E INFLUENZA,ARTE,GVB,2022,Jan,5,Wed,23,10,37
BDDF,COVID-19 E INFLUENZA,ARTE,GVB,2022,Jan,5,Wed,23,57,7
BDDF,ESTIMATIVA DE ENTREGA,ARTE,GVB,2022,Jan,5,Wed,22,37,0
BDDF,EVOLUCAO RESERVATORIOS,ARTE,x,2022,Jan,5,Wed,5,38,30
BDDF,EVOLUCAO RESERVATORIOS,ARTE,x,2022,Jan,5,Wed,5,39,11
BDDF,MATRICULA,ARTE,x,2022,Jan,5,Wed,5,53,9
BDDF,MEDICOS NAS UPAS,ARTE,GVB,2022,Jan,5,Wed,0,25,2
BDDF,MORAR BEM,ARTE,GVB,2022,Jan,5,Wed,22,8,49
BDDF,MORAR BEM,x,GVB,2022,Jan,5,Wed,22,24,41
BDDF,OCUPACAO COVID,ARTE,GVB,2022,Jan,5,Wed,23,42,59
BDDF,TAXA DE TRANSMISSAO,TELA,x,2022,Jan,5,Wed,21,4,5
BDDF,VENDAS SEMINOVOS,ARTE,x,2022,Jan,5,Wed,23,9,0
BDDF,VENDAS SEMINOVOS,ARTE,x,2022,Jan,5,Wed,23,8,54
DF1,PERG AO DR,x,x,2022,Jan,5,Wed,8,10,4
DF1,RELATORIO UNB,ARTE,x,2022,Jan,5,Wed,10,37,52
DF1,RELATORIO UNB,DESTAQUE,x,2022,Jan,5,Wed,10,13,54
DF1,RELATORIO UNB,DESTAQUE,x,2022,Jan,5,Wed,10,21,25
DF1,RELATORIO UNB,x,x,2022,Jan,5,Wed,10,25,4
DF1,RELATORIO UNB,x,x,2022,Jan,5,Wed,11,21,56
DF1,RELATORIO UNB,x,KMB,2022,Jan,5,Wed,10,45,1
DF1,RELATORIO UNB,x,KMB,2022,Jan,5,Wed,11,7,6
DF1,RELATORIO UNB,x,KMB,2022,Jan,5,Wed,10,54,43
DF2,AUTONOMOS arte,ARTE,x,2022,Jan,5,Wed,17,20,35
DF2,DESTAQUE,DESTAQUE,PHB,2022,Jan,5,Wed,16,56,54
DF2,DESTAQUE,DESTAQUE,PHB,2022,Jan,5,Wed,16,43,37
GNEWS,ARRECADACAO,TELA,x,2022,Jan,5,Wed,17,5,58
GNEWS,ARRECADACAO,TELA,x,2022,Jan,5,Wed,20,22,23
GNEWS,ARRECADACAO,TELA,x,2022,Jan,5,Wed,20,22,19
GNEWS,ARRECADACAO,TELA,GVB,2022,Jan,5,Wed,17,4,40
GNEWS,ARRECADACAO,TELA,GVB,2022,Jan,5,Wed,20,18,22
GNEWS,ARTE,ARTE,PHB,2022,Jan,5,Wed,18,49,24
GNEWS,ARTE,ARTE,PHB,2022,Jan,5,Wed,19,49,47
GNEWS,TELAO ARTE 1 VERSAO 2,ARTE,WMB,2022,Jan,5,Wed,19,19,7
GNEWS,TELAO ARTE 1.aep,ARTE,x,2022,Jan,5,Wed,18,2,37
GNEWS,VACINACAO INFANTIL,ARTE,x,2022,Jan,5,Wed,21,44,54
GNEWS,VACINACAO INFANTIL,ARTE,x,2022,Jan,5,Wed,21,46,47
GNEWS,VACINACAO INFANTIL,ARTE,x,2022,Jan,5,Wed,21,44,49
GNEWS,VACINACAO INFANTIL,ARTE,x,2022,Jan,5,Wed,21,59,35
H1,VACINACAO INFANTIL,ARTE,x,2022,Jan,5,Wed,22,16,35
H1,VACINACAO INFANTIL,ARTE,x,2022,Jan,5,Wed,22,16,12
JG,VACINACAO,ARTE,x,2022,Jan,5,Wed,23,1,5
JG,VACINACAO,ARTE,x,2022,Jan,5,Wed,23,27,24
JG,VACINACAO,ARTE,x,2022,Jan,5,Wed,22,24,50
JN,VACINACAO INFANTIL ARTE DOSES,ARTE,x,2022,Jan,5,Wed,20,0,18
JN,VACINACAO INFANTIL,ARTE,x,2022,Jan,5,Wed,19,41,15
JN,VACINACAO INFANTIL,GRAFICO,x,2022,Jan,5,Wed,19,37,3
GE,VACINACAO INFANTIL,GRAFICO,x,2022,Jan,5,Wed,20,24,56
JN,VACINACAO INFANTIL,ARTE,x,2022,Jan,5,Wed,21,10,52
JN,VACINACAO INFANTIL,GRAFICO,x,2022,Jan,5,Wed,20,0,0
JN,VACINACAO INFANTIL,GRAFICO,x,2022,Jan,5,Wed,20,8,32
JN,VACINACAO INFANTIL,GRAFICO,x,2022,Jan,5,Wed,20,4,48
